start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
44:04.1,45:08.4,3,Handroanthus crysanthus,H13,13,29,4,2023,0,0,3,0,1,0,0,0,0
06:59.3,41:22.5,3,Handroanthus crysanthus,H01,1,15,3,2022,0,0,4,0,0,0,0,0,0
41:26.5,42:07.8,3,Handroanthus crysanthus,H05,5,15,3,2022,0,0,5,0,0,0,0,0,0
42:10.9,42:54.7,3,Handroanthus crysanthus,H04,4,15,3,2022,0,0,5,0,0,0,0,0,0
42:57.5,43:55.0,3,Handroanthus crysanthus,H06,6,16,3,2022,0,0,5,0,0,0,0,0,0
43:58.2,44:41.6,3,Handroanthus crysanthus,H02,2,16,3,2022,0,0,5,0,0,0,0,0,0
44:46.2,45:28.8,3,Handroanthus crysanthus,H10,10,16,3,2022,0,0,5,0,0,0,0,0,0
46:33.3,47:17.4,3,Handroanthus crysanthus,H07,7,17,3,2022,0,0,5,0,0,0,0,0,0
17:52.7,19:13.5,3,Handroanthus crysanthus,H07,7,1,4,2022,0,0,4,0,0,0,0,0,0
20:04.8,20:42.7,3,Handroanthus crysanthus,H01,1,1,4,2022,0,0,4,0,0,0,0,0,0
20:45.7,21:28.6,3,Handroanthus crysanthus,H05,5,1,4,2022,0,0,5,0,0,0,0,0,0
21:31.8,22:14.5,3,Handroanthus crysanthus,H04,4,5,4,2022,0,0,5,0,0,0,0,0,0
22:17.0,22:57.6,3,Handroanthus crysanthus,H06,6,5,4,2022,0,0,5,0,0,0,0,0,0
23:00.7,23:35.3,3,Handroanthus crysanthus,H10,10,5,4,2022,0,0,4,0,0,0,0,0,0
25:01.5,25:34.7,3,Handroanthus crysanthus,H02,2,6,4,2022,0,0,4,0,0,0,0,0,0
25:37.8,26:16.2,3,Handroanthus crysanthus,H11,11,6,4,2022,0,0,5,0,0,0,0,0,0
46:47.5,47:51.5,3,Handroanthus crysanthus,H11,11,13,4,2022,0,0,5,0,0,0,0,0,0
48:58.1,49:49.7,3,Handroanthus crysanthus,H07,7,14,4,2022,0,0,4,0,0,0,0,0,0
49:53.1,51:20.8,3,Handroanthus crysanthus,H01,1,14,4,2022,0,0,4,0,0,0,0,0,0
51:24.1,52:03.4,3,Handroanthus crysanthus,H05,5,19,4,2022,0,0,5,0,0,0,0,0,0
52:06.1,52:48.4,3,Handroanthus crysanthus,H02,2,19,4,2022,0,0,5,0,0,0,0,0,0
52:50.8,53:32.2,3,Handroanthus crysanthus,H04,4,19,4,2022,0,0,5,0,0,0,0,0,0
53:35.8,54:25.6,3,Handroanthus crysanthus,H06,6,20,4,2022,0,0,5,0,0,0,0,0,0
55:21.2,56:30.3,3,Handroanthus crysanthus,H10,10,20,4,2022,0,0,4,0,0,0,0,0,0
26:24.7,27:19.7,3,Handroanthus crysanthus,H11,11,3,5,2022,0,0,5,0,0,0,0,0,0
27:22.0,28:03.0,3,Handroanthus crysanthus,H02,2,3,5,2022,0,0,4,0,0,0,0,0,0
28:07.4,29:28.1,3,Handroanthus crysanthus,H04,4,4,5,2022,0,0,4,0,0,0,0,0,0
29:30.4,30:06.3,3,Handroanthus crysanthus,H06,6,4,5,2022,0,0,4,0,0,0,0,0,0
30:51.3,31:50.2,3,Handroanthus crysanthus,H10,10,4,5,2022,0,0,5,0,0,0,0,0,0
38:36.1,39:20.2,3,Handroanthus crysanthus,H07,7,1,5,2022,0,0,4,0,0,0,0,0,0
46:19.2,47:02.7,3,Handroanthus crysanthus,H01,1,1,5,2022,0,0,4,0,0,0,0,0,0
47:08.0,47:47.1,3,Handroanthus crysanthus,H05,5,1,5,2022,0,0,5,0,0,0,0,0,0
32:10.7,32:49.7,3,Handroanthus crysanthus,H07,7,14,5,2022,0,0,4,0,0,0,0,0,0
33:36.9,34:19.6,3,Handroanthus crysanthus,H01,1,14,5,2022,0,0,4,0,0,0,0,0,0
34:23.2,35:05.0,3,Handroanthus crysanthus,H05,5,14,5,2022,0,0,5,0,0,0,0,0,0
36:18.1,37:05.1,3,Handroanthus crysanthus,H04,4,20,5,2022,0,0,5,0,0,0,0,0,0
37:08.0,37:43.3,3,Handroanthus crysanthus,H06,6,20,5,2022,0,0,5,0,0,0,0,0,0
38:50.2,39:29.6,3,Handroanthus crysanthus,H10,10,20,5,2022,0,0,4,0,0,0,0,0,0
43:21.9,44:05.8,3,Handroanthus crysanthus,H11,11,17,5,2022,0,0,5,0,0,0,0,0,0
44:09.1,44:47.6,3,Handroanthus crysanthus,H02,2,17,5,2022,0,0,4,0,0,0,0,0,0
20:54.6,21:28.1,3,Handroanthus crysanthus,H07,7,24,5,2022,0,0,4,0,0,0,0,0,0
47:07.8,47:46.1,3,Handroanthus crysanthus,H05,5,20,6,2022,0,0,4,0,2,0,0,0,0
47:48.7,49:03.1,3,Handroanthus crysanthus,H04,4,20,6,2022,0,0,4,0,1,0,0,0,0
49:06.5,49:41.4,3,Handroanthus crysanthus,H06,6,20,6,2022,0,0,4,0,2,0,0,0,0
50:23.4,51:02.3,3,Handroanthus crysanthus,H10,10,20,6,2022,0,0,3,0,2,0,0,0,0
51:11.0,51:45.1,3,Handroanthus crysanthus,H01,1,27,5,2022,0,0,4,0,0,0,0,0,0
51:53.4,52:31.0,3,Handroanthus crysanthus,H05,5,27,5,2022,0,0,5,0,0,0,0,0,0
52:40.5,53:36.9,3,Handroanthus crysanthus,H04,4,27,5,2022,0,0,5,0,0,0,0,0,0
53:39.3,54:17.8,3,Handroanthus crysanthus,H06,6,27,5,2022,0,0,5,0,0,0,0,0,0
55:03.1,55:33.5,3,Handroanthus crysanthus,H10,10,27,5,2022,0,0,4,0,0,0,0,0,0
59:53.4,00:29.3,3,Handroanthus crysanthus,H11,11,29,5,2022,0,0,5,0,0,0,0,0,0
00:31.9,01:05.6,3,Handroanthus crysanthus,H02,2,29,5,2022,0,0,4,0,0,0,0,0,0
12:42.4,13:26.9,3,Handroanthus crysanthus,H07,7,4,6,2022,0,0,4,0,0,0,0,0,0
